Date,Site ID,POC,Daily Mean PM10 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,Site Latitude,Site Longitude,Dominant Source,Elevation (m),Measurement Scale,Measurement Scale Definition,Monitor Type,Monitoring Agency,Monitoring Objective,NAAQS Primary Monitor?,Networks,Probe Height (m),QA Primary Monitor?
2022-02-21,010730023,4,23,Micrograms/cubic meter (25 C),21,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-22,010730023,4,19,Micrograms/cubic meter (25 C),18,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-23,010730023,4,13,Micrograms/cubic meter (25 C),12,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-24,010730023,4,25,Micrograms/cubic meter (25 C),23,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-25,010730023,4,8,Micrograms/cubic meter (25 C),7,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-26,010730023,4,14,Micrograms/cubic meter (25 C),13,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-02-27,010730023,4,6,Micrograms/cubic meter (25 C),6,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-01,010730023,4,34,Micrograms/cubic meter (25 C),31,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-02,010730023,4,47,Micrograms/cubic meter (25 C),44,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-03,010730023,4,61,Micrograms/cubic meter (25 C),54,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-04,010730023,4,78,Micrograms/cubic meter (25 C),62,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-05,010730023,4,40,Micrograms/cubic meter (25 C),37,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-06,010730023,4,20,Micrograms/cubic meter (25 C),19,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-07,010730023,4,20,Micrograms/cubic meter (25 C),19,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-08,010730023,4,11,Micrograms/cubic meter (25 C),10,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-09,010730023,4,5,Micrograms/cubic meter (25 C),5,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-10,010730023,4,13,Micrograms/cubic meter (25 C),12,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
2022-03-11,010730023,4,26,Micrograms/cubic meter (25 C),24,North Birmingham,1,100,81102,PM10 Total 0-10um STP,239,Teledyne API T640X at 16.67 LPM - Broadband spectroscopy,13820,"Birmingham-Hoover, AL",33.553056,-86.815,AREA,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",HIGHEST CONCENTRATION,Y,NCORE,4,
